	えぬいーえる	0
!!!!!!	さくせすぶろっけん	1
!!!カオスタイム!!!	かおすたいむ	0
!!ボブン━ |'ω'三'ω'|━ボブン!!	ぼぶんぼぶん	0
!(x髥莏)	びっくりまーく	1
!(髥莏)	びっくりまーく	0
!?p	あまだれぷろでゅーさー	0
!?シリーズ	びっくりはてなしりーず	1
!onhcetva	あどばんすてくのー	1
"Able"	あべる	1
"CANVAS"	きゃんばす	1
"Cain"	かいん	1
"E"qual	いこーる	0
"Grow Your Own Castle" Kit	きみだけのおしろをそだてちゃおうきっと	1
"Hello, world."	はろーわーるど	0
"LIVE FOREVER" The last waltz of Syrup16g	らいぶふぉーえばーざらすとわるつおぶしろっぷじゅうろくぐらむ	0
"Princess Piccolo"	ぷりんせすぴっころ	0
"S" stands for?	えすすたんずふぉー	1
"hello!!"	はろー	1
"hello,world."	はろーわーるど	1
"らしく"いきましょ	らしくいきましょ	1
"アベル"	あべる	1
"カイン"	かいん	1
"シャイガイ"	しゃいがい	1
"偶像使い"アイドルマスター	ぐうぞうつかいあいどるますたー	0
"永田シティ"アドベンチャー	よのなかぜにですよ	0
"素顔"を見せます	すがおをみせます	1
#	いげた	0
###うp主は粛清されました###	うぷぬしはしゅくせいされました	0
###このうp主は粛清されました###	このうぷぬしはしゅくせいされました	1
###このコメントはしまわれました###	このこめんとはしまわれました	0
###このコメントはのび太には表示されないよ###	すねお	0
###このコメントはスキマ送りにされました###	このこめんとはすきまおくりにされました	0
###このコメントは友愛されました###	このこめんとはゆうあいされました	1
###このコメントは粛清されました###	このこめんとはしゅくせいされました	0
###このコメントは表示されねぇから!###	このこめんとはひょうじされねぇから	1
###このコメントは表示されません###	このこめんとはひょうじされません	0
###このタグはしまわれました###	このたぐはしまわれました	0
###このタグはラブに侵されました###	このたぐはらぶにおかされました	0
###このタグは友愛されました###	このたぐはゆうあいされました	1
###このタグは旅立ちました###	もういないよ	0
###このタグは粛清されました###	このたぐはしゅくせいされました	0
###このタグは風になりました###	このたぐはかぜになりました	0
###このレスは粛清されました###	このれすはしゅくせいされました	0
###この会社は粛清されました###	このかいしゃはしゅくせいされました	0
###この演奏者は表示されません###	このえんそうしゃはひょうじされません	0
###この記事は粛清されました###	このきじはしゅくせいされました	0
###音程は修正できません###	おんていはしゅうせいできません	0
##このコメントは刺されました##	このこめんとはさされました	0
##後日談は星乃さんに消去されました##	ごじつだんはほしのさんにしょうきょされました	0
#17P_PRISM	じゅうななぴーぷりずむ	0
#39c5bb	さんきゅーしーごびーびー	1
#3で若狭梨奈	しゃーぷすりーでわかさりな	0
#51	なんばーふぃふてぃふぁいぶ	1
#BattleField6	ばとるふぃーるどしっくす	1
#DecupleStars	でぃかぷるすたーず	1
#Endroll	えんどろーる	0
#FE	しゃーぷえふいー	1
#FFFFFF	おどろきのしろさ	0
#FairyJoke	ふぇありーじょーく	0
#FairyJoke #SDVX_Edit	ふぇありーじょーくさうんどぼるてっくすえでぃっと	1
#HE4DSHOT	へっどしょっと	0
#JUMPINXBOX	じゃんぷいんえっくすぼっくす	1
#MAD_idea	まっどあいでぃあ	0
#P(ハッシュタグP)	はっしゅたぐぴー	1
#PrayForKyoani	ぷれいふぉーきょうあに	0
#SpeedyCats	すぴーでぃーきゃっつ	1
#TASers	たさーず	0
#ThankYouSakurai	さんきゅーさくらい	0
#UNICUS	ゆにくす	0
#VOICEROIDクソダジャレ部	ぼいすろいどくそだじゃれぶ	0
#ZOZO球団	ぞぞきゅうだん	0
#a55a4a	まつざきしげるいろ	1
#air_vomas	えあぼます	0
#bokintero	ぼきんてろ	1
#bokuhadouteidesu	ぼくはどうていです	0
#cg_ootd	しーじーおーおーてぃーでぃー	1
#cgよまつり	しーじーよまつり	1
#cgコンステ	しーじーこんすて	1
#charity_song	ちゃりてぃそんぐ	0
#cpdz	しーぴーでぃーじー	0
#edano_nero	えだのねろ	1
#fairy_dancing_in_lake	ふぇありーだんしんぐいんれいく	0
#fesなう	ふぇすなう	0
#fumou954	はっしゅたぐふもうきゅーごーよん	0
#harusan kawaii	はるさんかわいい	1
#imascgSF	あいますしーじーえすえふ	1
#imascgSoL	あいますしーじーえすおーえる	1
#include	しゃーぷいんくるーど	1
#isisイラスト化祭り	あいえすあいえすいらすとかまつり	1
#isisクソコラグランプリ	しゃーぷあいえすあいえすくそこらぐらんぷり	1
#kzn	きずな	0
#macnelove	まくねらぶ	0
#minnaegao	はっしゅたぐみんなをえがおにしようけいかく	1
#nagae san	ながえさん	1
#nextnicopedia	ねくすとにこぺでぃあ	0
#nextnicopediaの夢の島	ゆめのしまというごみじまがありまして	0
#nicoradi	はっしゅにこらじ	0
#prayforjapan	ぷれいふぉーじゃぱん	0
#raira#	らいら	1
#sailormoonredraw	せーらーむーんちゃれんじ	0
#tama954	はっしゅたぐたまきゅーごーよん	0
#touitusen	とういつせんはもっとはやるべき	0
#type_touitusen	はっしゅたぐたいぷとういつせん	0
#viprice	びっぷらいす	1
#xivlive	しゃーぷえっくすぶいらいぶ	1
#เกาหลีใต้ขี้โกง	いんちきかんこく	0
#あかん妄想が止まらへん土曜夜の大阪	あかんもうそうがとまらへんどようよるのおおさか	1
#あねえる	あねえる	1
#いまだけダブチ食べ美	いまだけだぶちたべみ	1
#うちで踊ろう	うちでおどろう	1
#うちで過ごそう	うちですごそう	0
#しぃゲー	しぃげー	1
#ちくいくルーム	ちくいくるーむ	1
#なつ	なつ	0
#にじさんじのレバガチャ	にじさんじのればがちゃ	1
#にじさんじ花鳥風月戦	にじさんじかちょうふうげつせん	1
#ねむこ	ねむこ	1
#のんせぇを許すな	のんせぇをゆるすな	1
#はじめてのツイート	はじめてのついーと	0
#びっくり道路選手権	はっしゅたぐびっくりどうろせんしゅけん	0
#みるにぃ活動しろ	ぴきぴきみるにぃかつどうしろ	0
#みんなに会いにいくよ	みんなにあいにいくよ	0
#やむんご	はっしゅたぐやむんご	1
#ゆちゃ的	ゆちゃてき	1
#ゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりあいちけん	ゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりあいちけん	1
#ゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりだいじけん	ゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりゆっりっゆっららららゆるゆりだいじけん	0
#らきすて	らきすて	1
#りこぴの窓口	りこぴのまどぐち	1
#アイドルを取り戻せ	あいどるをとりもどせ	0
#インターネット老人会	いんたーねっとろうじんかい	1
#ウルトラマンZ全50話	はっしゅたぐうるとらまんぜっとぜんごじゅうわ	0
#キボウレインボウ#	きぼうれいんぼう	0
#コンパス	こんぱす	1
#コンパス 戦闘摂理解析システム	こんぱすせんとうせつりかいせきしすてむ	0
#コンパス【戦闘摂理解析システム】	こんぱすせんとうせつりかいせきしすてむ	1
#コンパスフェス	こんぱすふぇす	0
#シチューうどん銭湯は営業します	しちゅーうどんせんとうはえいぎょうします	1
#スガは大仏を建立しろ	すがはだいぶつをこんりゅうしろ	0
#スニリプ	すにりぷ	0
#ゾンビさがしてます	ぞんびさがしてます	0
#タクガタリ	たくがたり	1
#ニコニコddr杯	にこにこでぃーでぃーあーるはい	1
#ニコニコ超会議2024	にこにこちょうかいぎにせんにじゅうよん	1
#ニコ生	にこなま	1
#ニャオハ立つな	たつぽけもんたたないぽけもんそんなのにゃおはのかって	0
#ニャオハ立て	たつぽけもんたたないぽけもんそんなのにゃおはのかって	1
#パクツイ	はっしゅたぐのぱくつい	0
#ヒーローが子供達を元気にする	ひーろーがこどもたちをげんきにする	1
#ビックカメラのうちわ娘ユニット選抜	びっくかめらのうちわむすめゆにっとせんばつ	0
#フィギュマス	ふぃぎゅます	0
#プロセカNEXT	ぷろせかねくすと	0
#プロセカULTIMATE	ぷろせかあるてぃめっと	1
#ボカほめ	ぼかほめ	0
#ボカコレ合同誌	ぼかこれごうどうし	1
#ポケミク	ぽけみく	1
#マジカルミライ福岡で開催してくれ頼むから	まじかるみらいふくおかでかいさいしてくれたのむから	0
#マッチャイ帰さない	まっちゃいかえさない	0
#マッチャイ帰さない2016	まっちゃいかえさないにせんじゅうろく	1
#マホイップチャレンジ	はっしゅまほいっぷちゃれんじ	0
#マホイップチャレンジから逃げるな	はっしゅまほいっぷちゃれんじからにげるな	1
#ミリオン春の投稿祭	みりおんはるのとうこうまつり	0
#ユキちゃん	ゆきちゃん	1
#ユニット名募集中	ゆにっとめいぼしゅうちゅう	1
#ユニ募	ゆにっとめいぼしゅうちゅう	1
#ラスボス適性	らすぼすてきせい	1
#レイナサマのイタズラ	はっしゅたぐれいなさまのいたずら	0
#ヴイアラ	はっしゅたぐゔいあら	0
#任天堂を許すな	にんてんどうをゆるすな	0
#先生死ぬかも	せんせいしぬかも	0
#同時多発一人お菓子パーティー	どうじたはつひとりおかしぱーてぃー	1
#大家帝国	はっしゅたぐおおかていこく	0
#家族募集します	はっしゅたぐかぞくぼしゅうします	0
#強弱UTA合戦	きょうじゃくうたがっせん	0
#強弱UTA合戦2021	きょうじゃくうたがっせんにせんにじゅういち	1
#強弱UTA合戦2021_弱	きょうじゃくうたがっせんにせんにじゅういちじゃく	1
#強弱UTA合戦2021_強	きょうじゃくうたがっせんにせんにじゅういちきょう	1
#強弱UTA合戦2022	きょうじゃくうたがっせんにせんにじゅうに	1
#強弱UTA合戦2022_弱	きょうじゃくうたがっせんにせんにじゅうにじゃく	1
#強弱UTA合戦2022_強	きょうじゃくうたがっせんにせんにじゅうにきょう	1
#強弱UTA合戦2023	きょうじゃくうたがっせんにせんにじゅうさん	1
#強弱UTA合戦2023_弱	きょうじゃくうたがっせんにせんにじゅうさんじゃく	1
#強弱UTA合戦2023_強	きょうじゃくうたがっせんにせんにじゅうさんきょう	1
#強弱UTA合戦_弱	きょうじゃくうたがっせんじゃく	1
#強弱UTA合戦_強	きょうじゃくうたがっせんきょう	1
#新年マッチャイ帰さない2017	しんねんまっちゃいかえさないにせんじゅうなな	1
#旅する代表	たびするだいひょう	1
#映えアイドル大集合ガシャ	ばえあいどるだいしゅうごうがしゃ	0
#暑いので涼しげな画像を貼る	はっしゅたぐあついのですずしげながぞうはる	0
#本田とじゃんけん	ほんだとじゃんけん	0
